omega,twin,triplet,quadruplet,quintuplet
1,1.149061,1.108217,1.045878,0.987984
2,1.318353,1.219684,1.080492,0.957341
3,1.510407,1.332140,1.100600,0.906956
4,1.728048,1.442505,1.102787,0.836638
5,1.974428,1.546693,1.083634,0.747426
6,2.253064,1.639375,1.039975,0.641886
7,2.567871,1.713707,0.969283,0.524362
8,2.923213,1.761001,0.870194,0.401109
9,3.323944,1.770331,0.743252,0.280205
10,3.775466,1.728079,0.591898,0.171085
11,4.283783,1.617381,0.423803,0.083476
12,4.855566,1.417488,0.252624,0.025429
13,5.498223,1.103008,0.100294,0.000000
14,6.219977,0.643013,0.000000,0.000000
15,7.029949,0.000000,0.000000,0.000000
